year,month,category,tags,name2,date,img,desc,event
2010,April,Arts_Culture,7, James Levine,4/1/10,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxITEhUSEhIWFRUXFxUXFhcVFRUXFhUVFRcXFxUXFhcYHiggGBolHRUVITEhJSkrLi4uFx8zODMtNygtLi0BCgoKDg0OGhAQGi0lHSUtLS0tLS0tKy0tLSstLS0tLS0tLS0tLS0tLSstLS0tLS0tLS0tLS0tLS0tKy0tLS0tLf/AABEIAPcAzAMBIgACEQEDEQH/xAAcAAABBQEBAQAAAAAAAAAAAAAAAQIEBQYDBwj/xABGEAABAwIDBAcEBQsDAwUAAAABAAIRAwQSITEFQVFhBhMicYGRoQcyscFCUmLR8BQjM0NygpKisuHxU3PCFRYkFzSDk9L/xAAZAQEAAwEBAAAAAAAAAAAAAAAAAQIDBAX/xAAkEQEBAAICAgICAgMAAAAAAAAAAQIRAzESIUFRBHEiQhQjYf/aAAwDAQACEQMRAD8A8OQhCAQhCAQlRCAQlTUAhCfRpFxhokoGIVi/Y9URiZEmMyBnwg5qx2Z0ce6cTNJydIOR5d3qo3DTOpYW0q9HmkEHGXAZ5DsnfEeOR4yoo6GXDyS1hDciCc5kaQBr3wo8onVZVC1F90Tq02hxaSO/3cs+W/iqK9sHsMlpAOkwp3DSIhIhSgqRCECgKRSoqO3VWNtRLvdCIrkRhXN9dSL63c0ZhV5UAc6UiEKUhKkSoEQlhEIHBCAhA0pErkgQdKFPE4DiQPMre7E2U5rQ7BhdvOUlpPfpPw4SqzorsMiK1QZZ4RBknjlprx3LcWFDDBjuyOmn36rLPJpjj8m0tnktyDSZnI6hucO0JUwbHdALDB4d+uv4yVnbWrRmBHHMCDmfH+yk27SRmS7PUmSfHf8A2VNtZNqkWjuyS0E55wBByjhPegOe0wQcIPKO/VW5AkDPn5pLlxiBqeQOo09Piq7a+MZu7t+sJgwMyQMJA4Tw/uqbaOxGOGCYdMxkNc3DLXfmtZ1eoMT5EDPPLdl6KtuGA9l7pEHCQQCJ3HMyrbZWR5vfdHHNxERIziZ7P3+aoq1BzTDgRmR5f5HmvUqNOkIEB05domA7uhUnSqx6xg/1BJENALsyI0BOQ3rTHNllhrphEJXNIMHIpFozAW76LbMmkHcVhW6r0Do1tECmAiuR+2dky05Lz6s2CQvTtrbTaKbu5eY1nS4lDExCEIsEIQgcEhSpCEBKVNSoAq16M2Aq1wCOy3tO8Px6KpW26FMAADnBsyZgZx+Aq5XUWxm61tF7GNwMaBAnXKOMAa6Lu2u1jiYM4c4Igzy0gqgqXXbJ5wDrvkzGQRc3cBzgNTmCRl5b8sst6xkbWtJQ2w0ABpDp1ggARrOefkr7ZtUVCCSI4DXkDlzXnmxKLXPkDU56xy1W5s+zEeSpll706eLj3jur25Y06ETpvOfBU95TdB7OfPTu4J1xdk5CI5AglFN3E58OCXKLY4WX2p213CWuI17OuR0zJ3Ku2rcSSHNzaMi0yHR2hJCl9IGjJwHgTAndos3c3eMjKCPpTMkZZ8dApxu4w5cfHJ2F2DVacIENJgA6iQCJ1PPmut2A9pmY0M6GdxXK3uHB0VCHRkyBpMSRG+N5lWGAYDphOZ/aAkHuVmfw826R2jadU4RAO6Z45nM/FVS0vTR4xtbiDnNxSQ2MjGRO+MOSzS3nTC9hS7W9czRREKUJ11tFzxBUFCEAhCEAlASJwQKgoQgahC7WtpUqGKbHPP2QTHfwQcFodjV3Bje8gHPx8Fwb0VvCJ6n+dk/FWVhsmtTZD6eEifpNM+AJVcuky+10KYIENDiJMR8/vXWvUJAaQ2Y18tI1TNnOjITpoud5Uw7st/LnPJZNosNitg8zwzWlNTAMI976XL7Kp7EdU0OP6RwBaN7Gn6R+0d3AZqZQK5cu3p8XWj+tJMrsyrA4rjKI3qjeuG1HAsMieXFZ66B7JDjhAOXPflrO6Vb3r8TXRoFm6xcSBPjnpC34rpwfkY79pbbfEMU5T3E81aUHYQIGQgnLjGpUKi4ABk65+G/LRSdpXraVHF9XMQJk81tJtyW6YDpPWDq7ocXQTmRhymBl4fFVC73tYve5xIMknLISdclwW8YBCEIBCEIBCEIBOCQBOAQCQpYSFBbdHbGnUc41RIAMCSAXROcLSU9oMoMDWANA3BZ/ZNUNloO458TGakXFCXCTzJ3R96K1ebL25VcSSBg0z3lWV9tmkGZjPmJCwd3XxuAGTRk0cBx707aV5IiUQsKO3+04QAJyjgtRscjAa9VoMz1LT+sIObyPqNMd5yWL2Ds1jg65uCRbUiA6MnVqhzbRp/aO87hJSu2/UqXHXO7MwxrW+7TZo1jR9UD5lZ5Y/TbC/bZ0azzieZcSe0d8nf5qfaipqBlz/GShbNa11Mme0HCWxDYIJBxB06g5QO9WL3OMzbU3tP0QK3q7rQuT18vTls6SG3rCS0EYgJjXTuUR21WOyD2jccRI9E6zp0m1mg29JjoMhprZZHcakSmNrBtRwpMpBxJEmmHyZnV8kHuIVZJte55ac7ysCCGOa4xo0EmOPIKqqshzSNOPxV+HVoJe97eLRUeG+UwPBU+2n4gxsNAa0jstAmSc3Ee8dM+SvLGeUtntGa/E/EMwMvAb1A6VXkMDZaZ+iJ9YI/HFRLW+dSrOpk5GCJ+0AR4KwurG3r5PGCpxYQJ/dPZPoV1Y4vMzy92MMUit9o7BqUwXNIqNGpAIc3m5p0HMSqhaKhCEIBCEIBCEIHAJwSJUAVIsrbHmcmjU8+A5pbO0L51wjUgTmrpzXNoRh7AJw1A0gc2vB38wTzUIUVOoWO/GiuatYPoyNcpVPXE5ot6hzCIdWHOeClbE2SbmqZdgpMGOtVPu06Y1PNx0A3lP2PsircvFKlhBObnPOFjRuLju5DfKldJ9oU2NFjan8zTd+dfobiuMi8/YGjR48E38LSfKD0h2sKxbTpN6u3pAto094G97+NRxzJ8NyqaZgg8CEsJA2SBz+ak29C2HVOKddMjoeC21C4bgBwBvcSfisRsaq3rANJHqtZUcerMLz8/V09fisyx2rm1mPr5yNQDqPTT+yX8qbTrGBIMSd2WkD5rNV9r1qbi0spjUSRU1H7Lst25Fvta5qHC3BGkim7fwLjJVvD5W8/66b2vch9PIN8p+KzG1W5E9w81dWWIUu1rouFtY9dXYw+6Djf8Asjd46eKjCbqOSyY7YfpdS6u5pt3tt6M8iWk/MJlrcExMeKXpzWx7Rrnm0DuDGwo9qYhd0eNl7q7/AClwIIIGW4KLdbMoVQZZgd9ZmXm33T6Lm+omMuCCpVQqvRStBLHMeNwktcfAiPVUtzbPpuwvaWngR+JHNbuhdCE26ayoIe0OHA7u7eDzCJ2wKFbbT2OWS6nLm6x9Jv3jmqlFghCED1Jo0mjN5J4NGp7ypVlaUxnUMneNw5Zalafon0WG0KzgyaVGmA6vXy7DdzWje90EAcic4gkd9JXs62MbyrgcW0aDIxuc5odnmGsbHvGN+mvCfaxUrWzQymzrKIEBrGhwY0aCBuhYKpsK1pnqrQik1mRaXEve7Uve46uIIGWWQgKVbXdzQO9zN2F0kd7dfKVy58m76elxcExx993tYbT6L7L2gXB1AUaupq28U3AnXGyMLjPESvL+kPsvvbWrkW1bcn/3Dfda3jUbMsPmDkAV6PW2k241dD26Fph4nc4HPwIXCjtOrTd1dQdYxwLTrhcDuIn0UTmsWy/Fxyv08521fstaAt7fJ7hLnfSg5FzvtHQDcFiwFcdKLhtS5qObS6sYg3ARBBptDDI3ElpKrWtW/Hjqf9cHNlvLXxOnPDkuuz6BfVYzi4ff8kpC1Xsz2QK908kZU6eL94kBvoHK96ZztqeiewHOoOe5gJLi0HeMGUjxlTa9Oo0Q4cp3H+601Co6hLIy9+OTve8j8QnC56wZhhadxC5ssZl+3Zx8lw/TB18JOF1PGeP3rrSfBDW0wPitJcbLpFxwvDTwdJA/e/ykbswA9pzW+ZPoFn4V1znxs7VtPIZ6LUnYwt7ao/WoQ0uO7UCByAJ9Vx2TshpqBxqtc0fRHHdK0u1aOKi9vFp9M1txYam64+fl8rJOnzJ0hql13Wd9oejQErdxS9IT/wCXX5VHD+Hs/JcaNbcVvOnHl2mOMtDp0yPyK5daFybcatA1kEnQc5XKrhAMdo5drMb9w4d/opVWdvWVga4A1VBbVlG2hdlxgHJErO52iDplz/wqza1JoIIPaIBeAIEnhz4plqz6TtBpO925cK75JJzRMcUIQiUjGV6z0KvG09lFgjEahq1ObgYZPGIpryWkMwt90TuBPVEwKgLM9MR90/xBp8FnydaacWpnLU7ZFZ1SrVcScziHjx8grSjcVAYe3Li0kR5yqvZ1/Sc4NphxqnIsaIg78ROTQN88FTdJOmj8TqVs6A10daCDjjXBIybO/fyXNMLk9G8uHHPdegNdTcASZ4HOR3HUKNVqFk1BUDqTAXPxAuLWjUyM8hxXl1Lpfej9ee4spn/inXfS27qMdTc9oa4YXYWNBIOonmrzgu1P8zDV1KhX1y6tUfVf7zyXGNJPDko5dCa6omArpeZ32fK9X9imyHYalwfdfIHMUzA9S7yXkxX050D2WKFhQpuEODM+/OfMyfFExF25T6uKxza2cQGsERp5eQWa/KGvksaW8T98ar0G7shUa5js5CzI6OPaQ0e4TmNDE55hY5Y1vjlGadVcDGZEaqw2eBUhpzMjlrxVhW6K1MX5szyORVxsno3gkvku3EHTXTj4qMcb8r5ZzXpP2XbNYAxoGWZ4ydJUq5BLXHkYUmjZACQ0A7yNTP1p11XYUgGmfxvW2nPb72+VOktPDeXI4Vn+c5+qr2qZt646y7uan1q9Z3nUdChhTFK6MePdPhwXOsICHBcqrslKAxy50myZSuOSaKkDJEutepADVH6skExkNT6eKexs5n+5RVZlMHxQcEIQiUmj73gtF0Sv6TLmk+s4BrSSZjWDBz5rLB5ShRZsl03nTWvRo05tXt/8qpVe4sc0nqyZLSQTEl48ARoVg0IKSaTlluhqe1NCcFKpSUoSIQXHRGx668oU4kYw49zc8+Ugea+mqVUABomAAPIQvFfY5st7n1rhlLGRFNp0A+k+DpMYfJevWl5GT6Zad+WirVpE41FItqYcfimUnsdou1FhYSWidAgm0HMzDYluRjUHmuz2SFWUCGFxgguMknPP5f3UqneBTAkEcfxCZeO/NPPBrvQKUagKh7UP5moPsu9Qg+S9ofpqv+7U/rcuQTrx01Kh41HnzcVzlSrVlsTZFS6qilSLA6C4l7sLGtESSYJ3jQHVXrPZftR5BFKmGEkdYa9LBH18nYsPhPJVfQ2vgumnA5/ZcIZnExBd9mY13kL1a2vrg5OcWji44iByA+9Y58lxunZwfj4cmG/nbIXHsau8ALLu1e7e2arc94DsEHxhZXpD0E2hZM624t4pSB1jXseyToSWEloOmYC9dfSIJLbpwni0E85AIVhW2Ky5talA3QcX03NM9mSR2eySdDB8FWc121z/ABMZPVfO1Mnd5x8AlqNyzme9I+m9pLSCHAkOByggwR5qZQYwR7k73O08jl5roebVQhSr+iWumQ4HRzYgnw07lFRZ6h/6bWzvcuz4mmfuXJ/soefcumnvaPk5YxlYjQnzUqjtKq3So8fvFcmuSf2dn+u/1aG49kd6D2X03fxDu3FY7bux6lpWNCqW42gFwaZAxCQDlrBB8Qrr/uW6YJFxUyz1Wburl9V7qlRxc9xJc4mSSVrx+e/5Vjy+Enqe3MJRqkTm6rZgckKcVK2RZmtXpUgJxvaI5TJ9AUHtvs32M2ha0XGq8PMPdTnskuOKI3ZQPBejW7qVYQ4Q7jofMKk2RsKWggkRw35K0p2Zpmcc98Kq4udlubm0z3/euTL00xDp1nPwHyVnQ2iNHLtVtaVVugzBzAEjuTX0j9qc7XCjVts/YJA1gK5p7EpAAZkjecyeZ5qRRsmt4eQhNU9M1Q2/QJjFgPOY89ysLi6D6TgCD2SZBBBAB4KfcW9AZmlTP/xtPyWV6T0mhpq0OrpOY10gNwioDqDh1yG8eITofNOKSTxJPmUoXKkck6VKq02DtJ9vUlgaccMIdkMyIMjSCvUtluL2/nahLtC2mQxo/wCXqvHresGva5zcQa5pLTo4Aglp5ECPFelWW19kXQipSo0nRo9vVloHB47MdxWPLj8u78Tk1LLf01Z6lrcJtw4cS95d/FilRnCkWxTmmRpiLnep+aiXGw7Z4a5mNwHumnWMNHItOi4XVv1VIw6pwGN0nPnqfFYWO/d7Zm/s7brng024icRdrOMB0/zblEqbGtz+rjmHEjyJhM261zHNqGe0XN/+tlKB/OfJRbfamEidN/cuzG+o8Tlms7ELa+yywCPd0yOQ8I/HNULmkGDqtRf3upHabo4cQdD+OKz1zGIznwPEblZSAXBTxdFR0BRqL+Vd6taRC4JSkSIt2VKCkRKkdCVtfZPY47s1TpSYT+8/IRzgO81iF7F7I7ZtO3xOGdRxfnvA7LfDKfFRSPSfy1wADTAA3JnbOZBPx8lOBbAwtk7kjbV55KF9oeKNd3muzK5GQcQpYsHGA6IkDPNOvNjOc5hBkNMxJH+f8p7NxwbfVB9Iro2+cfecm1NnkfRJ8Suf5LxDgh6WbQHDJZTpnSw0KvDA4g7wQ0/eroNwaOnzWZ9oV2RZ1+IpVY/hMIq+cqeiCkanKyprkwpzimINl7M9puZcfk89ioHkCNKjWEjPmGx5LdU71lep1ABNUH9HuA+uT9QDMn5rynolcMp3lvUqPwMbVa57s8mg5zG46eK9E29tShTpOfZXNI1a78L6jXDEyi10hmem8xvkcFlnhLXVxc9wx05+1JrOpYGe7TcAOeIODj4kz5cF5e6otX0n2t11KAcsTfiseVpHNbu7rvSuCJ4EEHxT6JZHaGmndr8yoilWtuXCeaW6JjvpFTkjQlJUhEiVCAQhCBZV7sfpfdW4a1rmua0ABrmjIDQAiCqFAQeu7F9sLWwK1BzTxZDx4zBWtsPanb1eyysxp4P7B/miV87BOhRpO30wdvVXyMcg8CPDRSrPa9UZYpHNfMVvcPpmab3MP2HFp9CtHs7p9fUsi8VBl74zj9pseZlRqp8o+lrW/wAYh2vNLdDfn4LwrZftZqBw66lDeLDiI/dMZa6HzWrtPajaVMuuwH7TXD1Ij1QbipdxqViPaJfA2lcD/TcPQovel1B47NxTdxwvaY8JWc6TXBfb1df0b459kwo2nTywJUBDirMzEhQkUpAKQhK3VdKg1QNpuOm7huQ9sJoKQlA4RvKnUrtrQANyrkKLNrTLTqMh3/BNTnFNUqgoSJUAhCECJUIQPCVNCdChASFBSIkhSJUKQ2E9lVwEBzgOAJhNXS1tn1HBlNjnuOjWNLnHwGaAakqFaWl0B2oRiFjWjm0A+RMql2lsi4tzFehVpf7jHNB7iRBQ0gpEqEBTGafU0Pem09Ur9PFQOaRKhSEQlQglWhbniaHaRJPjoQnSw/qx4Od8yVFCFAkxT3teO5wPxalpto4gT1hAIJENkicxinKeMKNKUOKC6r19nu0oV6X7NVr/AOsKMbe0Olaqz9ukHf0uVeHIlQnaw/6dRPu3dP8AfZVZ6wUn/SCfdrUHd1Zo/qhQAeSDCk3FtQ6M3Tvdph37NWif+a7f9m3+62ee4sPwcqKAurKjh7r3DuJHwQ9L1vQnaJ0tKn8v/wCl3p+zvajtLN3jUoj4vVNR2tXb7tzVaeVSoPmp9Hpdft0vKh73B39QKHpaD2XbUieoYORr0Z/qUG89n21KYJdZvIH+mWVPSm4ldaPT3aI1rh/7VOkfg0FTqHtLvAe0yk7uFRh/ldHoif4slZ7Kq1K7LbA5tR7g3C9paWzqSDnAEnwXtuy3Udn0hRtGsbl+crv96o4anIYiJ4ZLE3HtJ6zC59ow1WT1dQ1C408QLTHZxEQdJWU2htKpWJL7mZ3Frw0coaCFXK34Wx8Z29cd0teDnd0p4EEesz6KbbdM3OGCoKNdp1DXsfI5sfBXhLrd26rTP70f1AJG21XcAe57D8Coky+03PH6ewbV6J7HvPcmxrHSG4aZPOm7KP2SFgekvs9vbOXlgrUf9ajLmgcXD3meIjmqihd3lPJvWgcIcW+WYVxszp7fW5yMcoLZ7wOz6K26rfGsmaZaRIIkAiRqDoRyKH6Ba2/6Q2F3ncWnVVTrVt8LSTxez3XfwzzVTW2TRf8AoLum77NUGi7zMtPmFO0aUiFPudjXDBLqTo+s0Y2/xMkKApVKkSpEDkIQoAlSIQOSIQgEqRCBUJEIAolIhA5rZSkEIonNOqnIeKBMRQSd/wAEtLQorbkSUJYC5gpcSIdG5aEjuXRty8aVH/xH71wxJCUEh9286uB72tPxCb1/2KZ/dA/phRygIJlvcuZmwFh403vb81Ldtl7v0gFT/dZTf/NhDv5lWtT5UJ26VatF36nAd5pvcP5X4viuf5NTOYqwODmmR/DISyln8ZIbQ0IQrICEIUBUiVCAQhCAQhCBEJUIFYUO3IQgVmhS1DokQgRCEIBCEIBAQhB1anIQgWUJEKB//9k=",American conductor and pianist,
2010,April,Business_Tech,9, Lloyd C Blankfein,4/1/10,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lloyd_C._Blankfein.jpg/157px-Lloyd_C._Blankfein.jpg,American business executive,
2010,April,OpEd_Opinion,7,Benedict XVI ,4/1/10,https://images.squarespace-cdn.com/content/v1/569543b4bfe87360795306d6/1453323630078-A5INT39E4FODHII9FJOM/ke17ZwdGBToddI8pDm48kKu-TgCiLrBJgnwyhQ4oXFhZw-zPPgdn4jUwVcJE1ZvWhcwhEtWJXoshNdA9f1qD7Xj1nVWs2aaTtWBneO2WM-s_FJoFDrn-1tx_wgwocMnxEHYJgLCtywwixB-0uAreww/image-asset.jpeg?format=500w,265th Pope of the Catholic Church,
2010,April,World,22,Benedict XVI ,4/1/10,https://images.squarespace-cdn.com/content/v1/569543b4bfe87360795306d6/1453323630078-A5INT39E4FODHII9FJOM/ke17ZwdGBToddI8pDm48kKu-TgCiLrBJgnwyhQ4oXFhZw-zPPgdn4jUwVcJE1ZvWhcwhEtWJXoshNdA9f1qD7Xj1nVWs2aaTtWBneO2WM-s_FJoFDrn-1tx_wgwocMnxEHYJgLCtywwixB-0uAreww/image-asset.jpeg?format=500w,265th Pope of the Catholic Church,
2010,May,Arts_Culture,6, Carol Vogel,5/1/10,https://1.bp.blogspot.com/-LcioKgBMAbY/WjG86I0dE_I/AAAAAAAAtm0/aXdHQ0ZlskQpjt_ZvxaJD5NPVcj0iqo5wCLcBGAs/s1600/13%2BVogel.jpg,American actress,
2010,May,Business_Tech,5, Jeanclaude Trichet,5/1/10,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Jean-Claude_Trichet1.jpg/164px-Jean-Claude_Trichet1.jpg,French economist and central banker,
2010,May,OpEd_Opinion,16, Elena Kagan,5/1/10,https://d3q94h10rclvvz.cloudfront.net/sites/default/files/styles/default_full/public/mediaobjects/elena_kagan.jpg?itok=eixXp-lj,Associate Justice of the Supreme Court of the United States,
2010,May,World,17, David Cameron,5/1/10,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/David_Cameron_official.jpg/187px-David_Cameron_official.jpg,former Prime Minister of the United Kingdom,
2010,June,Arts_Culture,5, Alan Gilbert,6/1/10,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Alan_Gilbert.JPG/168px-Alan_Gilbert.JPG,American conductor and violinist,
2010,June,Business_Tech,8, Ben S Bernanke,6/1/10,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Ben_Bernanke_official_portrait.jpg/200px-Ben_Bernanke_official_portrait.jpg,American economist,
